app,version
core,28000Date20230906104802
core,28000Date20231004103301
core,28000Date20231103104802
core,28000Date20231126110901
core,28000Date20240828142927
core,29000Date20231126110901
core,29000Date20231213104850
core,29000Date20240124132201
core,29000Date20240124132202
core,29000Date20240131122720
core,30000Date20240429122720
core,30000Date20240708160048
core,30000Date20240717111406
core,30000Date20240814180800
core,30000Date20240815080800
core,30000Date20240906095113
dav,1004Date20170825134824
dav,1004Date20170919104507
dav,1004Date20170924124212
dav,1004Date20170926103422
dav,1005Date20180413093149
dav,1005Date20180530124431
dav,1006Date20180619154313
dav,1006Date20180628111625
dav,1008Date20181030113700
dav,1008Date20181105104826
dav,1008Date20181105104833
dav,1008Date20181105110300
dav,1008Date20181105112049
dav,1008Date20181114084440
dav,1011Date20190725113607
dav,1011Date20190806104428
dav,1012Date20190808122342
dav,1016Date20201109085907
dav,1017Date20210216083742
dav,1018Date20210312100735
dav,1024Date20211221144219
dav,1025Date20240308063933
dav,1027Date20230504122946
dav,1029Date20221114151721
dav,1029Date20231004091403
dav,1030Date20240205103243
dav,1031Date20240610134258
federatedfilesharing,1010Date20200630191755
federatedfilesharing,1011Date20201120125158
federation,1010Date20200630191302
files,11301Date20191205150729
files,12101Date20221011153334
files_downloadlimit,000000Date20210910094923
files_external,1011Date20200630192246
files_external,1015Date20211104103506
files_external,1016Date20220324154536
files_external,22000Date20210216084416
files_reminders,10000Date20230725162149
files_sharing,11300Date20201120141438
files_sharing,21000Date20201223143245
files_sharing,22000Date20210216084241
files_sharing,24000Date20220208195521
files_sharing,24000Date20220404142216
files_trashbin,1010Date20200630192639
files_trashbin,1020Date20240403003535
files_versions,1020Date20221114144058
notifications,2004Date20190107135757
notifications,2010Date20210218082811
notifications,2010Date20210218082855
notifications,2011Date20210930134607
notifications,2011Date20220826074907
oauth2,010401Date20181207190718
oauth2,010402Date20190107124745
oauth2,011601Date20230522143227
oauth2,011602Date20230613160650
oauth2,011603Date20230620111039
oauth2,011901Date20240829164356
onlyoffice,070000Date20210417111111
onlyoffice,070400Date20220607111111
onlyoffice,070400Date20220929111111
photos,20000Date20220727125801
photos,20001Date20220830131446
photos,20003Date20221102170153
photos,20003Date20221103094628
photos,30000Date20240417075405
privacy,100Date20190217131943
richdocuments,2060Date20200302131958
richdocuments,2060Date20200302132145
richdocuments,30704Date20200626072306
richdocuments,30709Date20201111104147
richdocuments,30717Date20210310164901
richdocuments,50200Date20211220212457
text,010000Date20190617184535
text,030001Date20200402075029
text,030201Date20201116110353
text,030201Date20201116123153
text,030501Date20220202101853
text,030701Date20230207131313
text,030901Date20231114150437
text,040100Date20240611165300
theming,2006Date20240905111627
twofactor_backupcodes,1002Date20170607104347
twofactor_backupcodes,1002Date20170607113030
twofactor_backupcodes,1002Date20170919123342
twofactor_backupcodes,1002Date20170926101419
twofactor_backupcodes,1002Date20180821043638
updatenotification,011901Date20240305120000
user_status,0001Date20200602134824
user_status,0002Date20200902144824
user_status,1000Date20201111130204
user_status,1003Date20210809144824
user_status,1008Date20230921144701
webhook_listeners,1000Date20240527153425
webhook_listeners,1001Date20240716184935
workflowengine,2000Date20190808074233
workflowengine,2200Date20210805101925

