VARIABLE_NAME,VARIABLE_VALUE
PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_LONG_SIZE,-1
QUERY_PREALLOC_SIZE,32768
LONG_QUERY_TIME,10.000000
SORT_BUFFER_SIZE,2097152
AUTO_INCREMENT_OFFSET,1
INNODB_ROLLBACK_ON_TIMEOUT,OFF
LOG_QUERIES_NOT_USING_INDEXES,OFF
STANDARD_COMPLIANT_CTE,ON
JOIN_BUFFER_SIZE,262144
ARIA_REPAIR_THREADS,1
CONNECT_TIMEOUT,10
JOIN_BUFFER_SPACE_LIMIT,2097152
LC_MESSAGES_DIR,<blank>
INNODB_BUFFER_POOL_LOAD_ABORT,OFF
MASTER_VERIFY_CHECKSUM,OFF
PROGRESS_REPORT_TIME,5
LARGE_PAGES,OFF
REPLICATE_WILD_DO_TABLE,<blank>
GTID_DOMAIN_ID,0
INNODB_PURGE_BATCH_SIZE,127
OPTIMIZER_ADJUST_SECONDARY_KEY_COSTS,"fix_reuse_range_for_ref,fix_card_multiplier"
CHARACTER_SET_SERVER,latin1
INIT_SLAVE,<blank>
PERFORMANCE_SCHEMA_MAX_STATEMENT_CLASSES,228
REPLICATE_ANNOTATE_ROW_EVENTS,ON
MAX_BINLOG_SIZE,1073741824
INNODB_READ_ONLY_COMPRESSED,OFF
SOCKET,/var/lib/mysql/mysql.sock
BINLOG_DIRECT_NON_TRANSACTIONAL_UPDATES,OFF
PERFORMANCE_SCHEMA_MAX_THREAD_INSTANCES,-1
INNODB_STRICT_MODE,ON
ALTER_ALGORITHM,DEFAULT
LOG_BIN_COMPRESS_MIN_LEN,256
WSREP_REJECT_QUERIES,NONE
LOCK_WAIT_TIMEOUT,86400
SERVER_UID,GvClgBpP9runj64iwJe3SbE2hoU=
PERFORMANCE_SCHEMA_SESSION_CONNECT_ATTRS_SIZE,-1
LOG_SLOW_VERBOSITY,<blank>
BULK_INSERT_BUFFER_SIZE,8388608
THREAD_POOL_IDLE_TIMEOUT,60
CHARACTER_SET_CLIENT,latin1
SSL_CA,<blank>
PERFORMANCE_SCHEMA_USERS_SIZE,-1
PERFORMANCE_SCHEMA_MAX_TABLE_LOCK_STAT,-1
MAX_PASSWORD_ERRORS,4294967295
TABLE_OPEN_CACHE_INSTANCES,8
HISTOGRAM_SIZE,254
RELAY_LOG_INFO_FILE,relay-log.info
INNODB_AUTOINC_LOCK_MODE,1
NET_RETRY_COUNT,10
LC_MESSAGES,en_US
PERFORMANCE_SCHEMA_MAX_THREAD_CLASSES,50
INNODB_MAX_PURGE_LAG_WAIT,4294967295
MAX_SP_RECURSION_DEPTH,0
INNODB_BUFFER_POOL_FILENAME,ib_buffer_pool
SQL_BUFFER_RESULT,OFF
INNODB_MAX_PURGE_LAG_DELAY,0
PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_SIZE,-1
INNODB_BUFFER_POOL_DUMP_NOW,OFF
LOG_SLOW_ADMIN_STATEMENTS,ON
INNODB_SYNC_SPIN_LOOPS,30
MAX_HEAP_TABLE_SIZE,16777216
INNODB_STATUS_OUTPUT,OFF
KEY_CACHE_DIVISION_LIMIT,100
INNODB_UNDO_LOG_TRUNCATE,OFF
GTID_CURRENT_POS,<blank>
INNODB_ADAPTIVE_HASH_INDEX,OFF
NET_WRITE_TIMEOUT,60
INNODB_ENCRYPT_LOG,OFF
VERSION_MALLOC_LIBRARY,system
LOG_BIN_BASENAME,<blank>
STORED_PROGRAM_CACHE,256
CHECK_CONSTRAINT_CHECKS,ON
SSL_CRL,<blank>
LOG_BIN_COMPRESS,OFF
INNODB_DEADLOCK_REPORT,full
OPTIMIZER_SWITCH,"index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,index_merge_sort_intersection=off,engine_condition_pushdown=off,index_condition_pushdown=on,derived_merge=on,derived_with_keys=on,firstmatch=on,loosescan=on,materialization=on,in_to_exists=on,semijoin=on,partial_match_rowid_merge=on,partial_match_table_scan=on,subquery_cache=on,mrr=off,mrr_cost_based=off,mrr_sort_keys=off,outer_join_with_cache=on,semijoin_with_cache=on,join_cache_incremental=on,join_cache_hashed=on,join_cache_bka=on,optimize_join_buffer_size=on,table_elimination=on,extended_keys=on,exists_to_in=on,orderby_uses_equalities=on,condition_pushdown_for_derived=on,split_materialized=on,condition_pushdown_for_subquery=on,rowid_filter=on,condition_pushdown_from_having=on,not_null_range_scan=off,hash_join_cardinality=off,cset_narrowing=off"
MAX_SESSION_MEM_USED,9223372036854775807
OPTIMIZER_USE_CONDITION_SELECTIVITY,4
WSREP_DATA_HOME_DIR,/var/lib/mysql/
DELAYED_QUEUE_SIZE,1000
INNODB_FORCE_RECOVERY,0
MAX_LENGTH_FOR_SORT_DATA,1024
INNODB_DISABLE_SORT_FILE_CACHE,OFF
FLUSH,OFF
INNODB_ENCRYPTION_ROTATION_IOPS,100
CHARACTER_SET_FILESYSTEM,binary
HAVE_DYNAMIC_LOADING,YES
COLUMN_COMPRESSION_ZLIB_STRATEGY,DEFAULT_STRATEGY
WSREP_SST_METHOD,rsync
MAX_BINLOG_CACHE_SIZE,18446744073709547520
INNODB_PRINT_ALL_DEADLOCKS,OFF
PERFORMANCE_SCHEMA_MAX_FILE_CLASSES,80
INNODB_STATS_TRADITIONAL,ON
MAX_SORT_LENGTH,1024
LOG_SLOW_DISABLED_STATEMENTS,sp
PERFORMANCE_SCHEMA_MAX_METADATA_LOCKS,-1
INNODB_MAX_DIRTY_PAGES_PCT,90.000000
PERFORMANCE_SCHEMA_MAX_MEMORY_CLASSES,320
IGNORE_BUILTIN_INNODB,OFF
VERSION_COMMENT,MariaDB Server
KEY_BUFFER_SIZE,4294967296
ARIA_FORCE_START_AFTER_RECOVERY_FAILURES,0
INNODB_INSTANT_ALTER_COLUMN_ALLOWED,add_drop_reorder
CONCURRENT_INSERT,AUTO
OLD,OFF
SYNC_RELAY_LOG,10000
QUERY_CACHE_LIMIT,16777216
INNODB_DEFAULT_ENCRYPTION_KEY_ID,1
SYSTEM_VERSIONING_ASOF,DEFAULT
INNODB_MAX_UNDO_LOG_SIZE,10485760
GTID_SLAVE_POS,<blank>
MAX_ROWID_FILTER_SIZE,131072
HAVE_QUERY_CACHE,YES
SLAVE_NET_TIMEOUT,60
PERFORMANCE_SCHEMA_MAX_SQL_TEXT_LENGTH,1024
PLUGIN_DIR,/usr/lib64/mysql/plugin/
PERFORMANCE_SCHEMA_MAX_FILE_INSTANCES,-1
THREAD_POOL_PRIORITY,auto
PERFORMANCE_SCHEMA_MAX_SOCKET_CLASSES,10
DISCONNECT_ON_EXPIRED_PASSWORD,OFF
RPL_SEMI_SYNC_SLAVE_KILL_CONN_TIMEOUT,5
INNODB_ADAPTIVE_FLUSHING_LWM,10.000000
SLAVE_MAX_ALLOWED_PACKET,1073741824
INNODB_DEFRAGMENT_FREQUENCY,40
HAVE_GEOMETRY,YES
SQL_WARNINGS,OFF
QUERY_CACHE_SIZE,33554432
STRICT_PASSWORD_VALIDATION,ON
QUERY_CACHE_TYPE,ON
RELAY_LOG_RECOVERY,OFF
MAX_RELAY_LOG_SIZE,1073741824
WSREP_GTID_DOMAIN_ID,0
METADATA_LOCKS_HASH_INSTANCES,8
THREAD_POOL_STALL_LIMIT,500
BINLOG_COMMIT_WAIT_USEC,100000
PERFORMANCE_SCHEMA_MAX_SOCKET_INSTANCES,-1
READ_BUFFER_SIZE,2097152
TX_READ_ONLY,OFF
QUERY_CACHE_WLOCK_INVALIDATE,OFF
INNODB_RANDOM_READ_AHEAD,OFF
PID_FILE,/var/lib/mysql/ss0112.pid
TCP_KEEPALIVE_PROBES,0
TLS_VERSION,"TLSv1.2,TLSv1.3"
PORT,3306
MIN_EXAMINED_ROW_LIMIT,0
COLLATION_SERVER,latin1_swedish_ci
TMPDIR,/home/mysqltmp
LOG_BIN_TRUST_FUNCTION_CREATORS,OFF
FLUSH_TIME,0
INNODB_MONITOR_DISABLE,<blank>
CHARACTER_SET_SYSTEM,utf8mb3
MYISAM_BLOCK_SIZE,1024
RPL_SEMI_SYNC_MASTER_TRACE_LEVEL,32
MAX_BINLOG_STMT_CACHE_SIZE,18446744073709547520
THREAD_POOL_MAX_THREADS,65536
ENCRYPT_TMP_FILES,OFF
SQL_SLAVE_SKIP_COUNTER,0
INNODB_SPIN_WAIT_DELAY,4
OLD_ALTER_TABLE,DEFAULT
INNODB_STATS_INCLUDE_DELETE_MARKED,OFF
LOWER_CASE_FILE_SYSTEM,OFF
INNODB_DEFRAGMENT_STATS_ACCURACY,0
TMP_TABLE_SIZE,16777216
INNODB_LOCK_WAIT_TIMEOUT,50
OPTIMIZER_PRUNE_LEVEL,1
INNODB_OLD_BLOCKS_TIME,1000
BINLOG_COMMIT_WAIT_COUNT,0
MAX_INSERT_DELAYED_THREADS,20
KEY_CACHE_AGE_THRESHOLD,300
RPL_SEMI_SYNC_MASTER_WAIT_NO_SLAVE,ON
INNODB_COMPRESSION_FAILURE_THRESHOLD_PCT,5
LOG_SLOW_SLAVE_STATEMENTS,ON
LOCKED_IN_MEMORY,OFF
THREAD_POOL_DEDICATED_LISTENER,OFF
INNODB_LRU_FLUSH_SIZE,0
QUERY_CACHE_STRIP_COMMENTS,OFF
WSREP_MYSQL_REPLICATION_BUNDLE,0
MAX_CONNECT_ERRORS,100
INNODB_PREFIX_INDEX_CLUSTER_OPTIMIZATION,OFF
LOG_SLAVE_UPDATES,OFF
LICENSE,GPL
SLAVE_SKIP_ERRORS,OFF
THREAD_HANDLING,one-thread-per-connection
INNODB_BUFFER_POOL_DUMP_PCT,25
LOWER_CASE_TABLE_NAMES,0
INNODB_ENCRYPT_TABLES,OFF
SKIP_NETWORKING,OFF
COLLATION_DATABASE,latin1_swedish_ci
INNODB_FT_AUX_TABLE,<blank>
INNODB_MONITOR_ENABLE,<blank>
INIT_CONNECT,<blank>
INNODB_LOG_BUFFER_SIZE,16777216
TABLE_DEFINITION_CACHE,400
HOST_CACHE_SIZE,228
SESSION_TRACK_SYSTEM_VARIABLES,"autocommit,character_set_client,character_set_connection,character_set_results,time_zone"
INNODB_MAX_PURGE_LAG,0
WSREP_FORCED_BINLOG_FORMAT,NONE
MYISAM_MAX_SORT_FILE_SIZE,9223372036853727232
SLAVE_PARALLEL_WORKERS,0
INNODB_LRU_SCAN_DEPTH,1536
EXTRA_MAX_CONNECTIONS,1
WSREP_LOG_CONFLICTS,OFF
METADATA_LOCKS_CACHE_SIZE,1024
OLD_MODE,UTF8_IS_UTF8MB3
DEFAULT_REGEX_FLAGS,<blank>
HOSTNAME,ss0112.hostingcare.net
HISTOGRAM_TYPE,DOUBLE_PREC_HB
DEFAULT_PASSWORD_LIFETIME,0
HAVE_COMPRESS,YES
BINLOG_CACHE_SIZE,32768
INNODB_USE_ATOMIC_WRITES,ON
THREAD_CACHE_SIZE,32
PROXY_PROTOCOL_NETWORKS,<blank>
NET_READ_TIMEOUT,30
INNODB_DOUBLEWRITE,ON
REPORT_PORT,3306
INNODB_STATS_PERSISTENT,ON
THREAD_POOL_SIZE,40
DEFAULT_WEEK_FORMAT,0
BINLOG_EXPIRE_LOGS_SECONDS,0
INNODB_CHANGE_BUFFER_MAX_SIZE,25
ANALYZE_SAMPLE_PERCENTAGE,100.000000
INNODB_DEFAULT_ROW_FORMAT,dynamic
KEEP_FILES_ON_CREATE,OFF
INNODB_USE_NATIVE_AIO,ON
FT_BOOLEAN_SYNTAX,"+ -><()~*:""""&|"
WSREP_CLUSTER_NAME,my_wsrep_cluster
SLAVE_DDL_EXEC_MODE,IDEMPOTENT
INNODB_UNDO_TABLESPACES,0
CHARACTER_SET_DATABASE,latin1
INNODB_BUF_DUMP_STATUS_FREQUENCY,0
DATE_FORMAT,%Y-%m-%d
DEADLOCK_SEARCH_DEPTH_SHORT,4
MAX_USER_CONNECTIONS,25
INNODB_FT_MIN_TOKEN_SIZE,3
INNODB_FT_USER_STOPWORD_TABLE,<blank>
SLAVE_COMPRESSED_PROTOCOL,OFF
SERVER_ID,1
CHARACTER_SETS_DIR,/usr/share/mysql/charsets/
ARIA_MAX_SORT_FILE_SIZE,9223372036853727232
PERFORMANCE_SCHEMA_MAX_DIGEST_LENGTH,1024
INNODB_TEMP_DATA_FILE_PATH,ibtmp1:12M:autoextend
LC_TIME_NAMES,en_US
USE_STAT_TABLES,PREFERABLY_FOR_QUERIES
DEFAULT_TMP_STORAGE_ENGINE,<blank>
ARIA_SYNC_LOG_DIR,NEWFILE
GTID_POS_AUTO_ENGINES,<blank>
INNODB_FT_ENABLE_STOPWORD,ON
LOG_ERROR,/var/lib/mysql/ss0112.hostingcare.net.err
INNODB_STATS_PERSISTENT_SAMPLE_PAGES,20
SECURE_FILE_PRIV,<blank>
ARIA_GROUP_COMMIT_INTERVAL,0
SLOW_QUERY_LOG,OFF
PROFILING_HISTORY_SIZE,15
WSREP_CONVERT_LOCK_TO_TRX,OFF
INNODB_CHANGE_BUFFERING,none
OPEN_FILES_LIMIT,80000
INNODB_STATS_MODIFIED_COUNTER,0
RELAY_LOG_BASENAME,<blank>
BINLOG_OPTIMIZE_THREAD_SCHEDULING,ON
TIME_FORMAT,%H:%i:%s
ENCRYPT_BINLOG,OFF
PROTOCOL_VERSION,10
SQL_SELECT_LIMIT,18446744073709551615
MAX_ERROR_COUNT,64
ARIA_STATS_METHOD,nulls_unequal
RELAY_LOG,<blank>
MYISAM_STATS_METHOD,NULLS_UNEQUAL
GENERAL_LOG,OFF
INNODB_COMPRESSION_ALGORITHM,zlib
WSREP_DEBUG,NONE
PLUGIN_MATURITY,gamma
INNODB_BUFFER_POOL_CHUNK_SIZE,134217728
INNODB_PURGE_THREADS,4
SLAVE_TRANSACTION_RETRY_INTERVAL,0
PROFILING,OFF
HAVE_CRYPT,YES
ARIA_PAGECACHE_BUFFER_SIZE,134217728
WSREP_SLAVE_THREADS,1
EXPENSIVE_SUBQUERY_LIMIT,100
HAVE_OPENSSL,YES
INNODB_BUFFER_POOL_DUMP_AT_SHUTDOWN,ON
WSREP_ON,OFF
SSL_CRLPATH,<blank>
WAIT_TIMEOUT,40
DEADLOCK_SEARCH_DEPTH_LONG,15
HAVE_PROFILING,YES
MRR_BUFFER_SIZE,262144
WSREP_START_POSITION,00000000-0000-0000-0000-000000000000:-1
INNODB_MAX_DIRTY_PAGES_PCT_LWM,0.000000
VERSION_COMPILE_MACHINE,x86_64
IDLE_WRITE_TRANSACTION_TIMEOUT,0
WSREP_SST_DONOR_REJECTS_QUERIES,OFF
FOREIGN_KEY_CHECKS,ON
RELAY_LOG_INDEX,<blank>
INNODB_MONITOR_RESET,<blank>
GTID_IGNORE_DUPLICATES,OFF
INNODB_STATS_AUTO_RECALC,ON
WSREP_NOTIFY_CMD,<blank>
INNODB_DEFRAGMENT,OFF
WSREP_MAX_WS_ROWS,0
MAX_TMP_TABLES,32
COLUMN_COMPRESSION_ZLIB_WRAP,OFF
INNODB_FATAL_SEMAPHORE_WAIT_THRESHOLD,600
THREAD_STACK,299008
GTID_BINLOG_STATE,<blank>
INNODB_FT_SORT_PLL_DEGREE,2
WSREP_SLAVE_FK_CHECKS,ON
SESSION_TRACK_TRANSACTION_INFO,OFF
WSREP_SLAVE_UK_CHECKS,OFF
INNODB_FILL_FACTOR,100
WSREP_LOAD_DATA_SPLITTING,OFF
INNODB_ADAPTIVE_FLUSHING,ON
LOG_WARNINGS,2
INNODB_FILE_PER_TABLE,ON
MAX_JOIN_SIZE,18446744073709551615
EXTRA_PORT,0
DEFAULT_STORAGE_ENGINE,MyISAM
ARIA_BLOCK_SIZE,8192
RELAY_LOG_SPACE_LIMIT,0
THREAD_POOL_PRIO_KICKUP_TIMER,1000
INNODB_DATA_HOME_DIR,<blank>
INNODB_STATS_ON_METADATA,OFF
INNODB_READ_IO_THREADS,4
USERSTAT,OFF
INNODB_WRITE_IO_THREADS,4
WSREP_NODE_INCOMING_ADDRESS,AUTO
WSREP_PATCH_VERSION,wsrep_26.22
AUTO_INCREMENT_INCREMENT,1
INNODB_UNDO_DIRECTORY,./
BIG_TABLES,OFF
REPLICATE_IGNORE_DB,<blank>
REPLICATE_DO_DB,<blank>
INNODB_FT_RESULT_CACHE_LIMIT,2000000000
WSREP_NODE_NAME,ss0112.hostingcare.net
WSREP_SYNC_WAIT,0
OLD_PASSWORDS,OFF
ARIA_GROUP_COMMIT,none
NOTE_VERBOSITY,"basic,explain"
INNODB_ENCRYPTION_ROTATE_KEY_AGE,1
RPL_SEMI_SYNC_SLAVE_TRACE_LEVEL,32
OPTIMIZER_TRACE,enabled=off
WSREP_NODE_ADDRESS,<blank>
REQUIRE_SECURE_TRANSPORT,OFF
WSREP_IGNORE_APPLY_ERRORS,7
INNODB_READ_AHEAD_THRESHOLD,56
GTID_BINLOG_POS,<blank>
INNODB_READ_ONLY,OFF
MAX_WRITE_LOCK_COUNT,4294967295
INNODB_IMMEDIATE_SCRUB_DATA_UNCOMPRESSED,OFF
ENFORCE_STORAGE_ENGINE,<blank>
INNODB_MONITOR_RESET_ALL,<blank>
SYNC_BINLOG,0
INNODB_OPTIMIZE_FULLTEXT_ONLY,OFF
SQL_LOG_OFF,OFF
INNODB_STATS_METHOD,nulls_equal
PERFORMANCE_SCHEMA_MAX_TABLE_INSTANCES,-1
SSL_CIPHER,<blank>
TABLE_OPEN_CACHE,2000
LOG_SLOW_RATE_LIMIT,1
WSREP_PROVIDER,none
ARIA_SORT_BUFFER_SIZE,268434432
SESSION_TRACK_SCHEMA,ON
INNODB_PURGE_RSEG_TRUNCATE_FREQUENCY,128
SKIP_EXTERNAL_LOCKING,ON
INNODB_BUFFER_POOL_SIZE,4294967296
PRELOAD_BUFFER_SIZE,32768
LOCAL_INFILE,OFF
RPL_SEMI_SYNC_SLAVE_ENABLED,OFF
INNODB_BUFFER_POOL_LOAD_NOW,OFF
MAX_RECURSIVE_ITERATIONS,1000
IGNORE_DB_DIRS,<blank>
TMP_DISK_TABLE_SIZE,18446744073709551615
BINLOG_CHECKSUM,CRC32
LOG_DISABLED_STATEMENTS,sp
INNODB_PAGE_SIZE,16384
DIV_PRECISION_INCREMENT,4
ARIA_ENCRYPT_TABLES,OFF
DATETIME_FORMAT,%Y-%m-%d %H:%i:%s
PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_LONG_SIZE,-1
REPORT_USER,<blank>
RPL_SEMI_SYNC_MASTER_WAIT_POINT,AFTER_COMMIT
ARIA_CHECKPOINT_INTERVAL,30
ARIA_CHECKPOINT_LOG_ACTIVITY,1048576
SQL_NOTES,ON
INNODB_FLUSH_LOG_AT_TRX_COMMIT,1
GTID_STRICT_MODE,OFF
WSREP_PROVIDER_OPTIONS,<blank>
SLAVE_TRANSACTION_RETRY_ERRORS,"1158,1159,1160,1161,1205,1213,1020,1429,2013,12701"
MAX_PREPARED_STMT_COUNT,16382
LOG_OUTPUT,FILE
WSREP_SST_DONOR,<blank>
HAVE_RTREE_KEYS,YES
INNODB_COMPRESSION_PAD_PCT_MAX,50
SYSTEM_TIME_ZONE,CEST
SSL_CERT,<blank>
SLAVE_TRANSACTION_RETRIES,10
LOG_SLOW_FILTER,"admin,filesort,filesort_on_disk,filesort_priority_queue,full_join,full_scan,query_cache,query_cache_miss,tmp_table,tmp_table_on_disk"
TCP_KEEPALIVE_INTERVAL,0
SSL_CAPATH,<blank>
DELAYED_INSERT_TIMEOUT,300
OPTIMIZER_SELECTIVITY_SAMPLING_LIMIT,100
GENERAL_LOG_FILE,ss0112.log
INNODB_CMP_PER_INDEX_ENABLED,OFF
MAX_ALLOWED_PACKET,268435456
INNODB_ONLINE_ALTER_LOG_MAX_SIZE,134217728
ROWID_MERGE_BUFF_SIZE,8388608
UPDATABLE_VIEWS_WITH_LIMIT,YES
WSREP_CAUSAL_READS,OFF
COLUMN_COMPRESSION_THRESHOLD,100
WSREP_SST_RECEIVE_ADDRESS,AUTO
SLAVE_TYPE_CONVERSIONS,<blank>
WSREP_REPLICATE_MYISAM,OFF
ARIA_PAGECACHE_DIVISION_LIMIT,100
SQL_QUOTE_SHOW_CREATE,ON
IN_PREDICATE_CONVERSION_THRESHOLD,1000
WSREP_MODE,<blank>
INNODB_DEFRAGMENT_FILL_FACTOR_N_RECS,20
WSREP_CERTIFICATION_RULES,strict
ARIA_PAGECACHE_AGE_THRESHOLD,300
PERFORMANCE_SCHEMA_MAX_TABLE_HANDLES,-1
ARIA_RECOVER_OPTIONS,"BACKUP,QUICK"
SLOW_QUERY_LOG_FILE,ss0112-slow.log
WSREP_TRX_FRAGMENT_UNIT,bytes
SECURE_AUTH,ON
SLAVE_SQL_VERIFY_CHECKSUM,ON
MYISAM_SORT_BUFFER_SIZE,67108864
INNODB_OLD_BLOCKS_PCT,37
INIT_FILE,<blank>
INNODB_COMPRESSION_LEVEL,6
INTERACTIVE_TIMEOUT,28800
SYNC_RELAY_LOG_INFO,10000
SLAVE_PARALLEL_MODE,optimistic
SLAVE_LOAD_TMPDIR,/home/mysqltmp
SKIP_SHOW_DATABASE,OFF
LOG_TC_SIZE,24576
AUTOCOMMIT,ON
SLAVE_RUN_TRIGGERS_FOR_RBR,NO
EQ_RANGE_INDEX_DIVE_LIMIT,200
SLAVE_PARALLEL_MAX_QUEUED,131072
MYISAM_MMAP_SIZE,18446744073709551615
WSREP_SST_AUTH,<blank>
KEY_CACHE_BLOCK_SIZE,1024
ARIA_LOG_DIR_PATH,/var/lib/mysql/
TRANSACTION_PREALLOC_SIZE,4096
WSREP_CERTIFY_NONPK,ON
VERSION_COMPILE_OS,Linux
BINLOG_ROW_IMAGE,FULL
MYISAM_USE_MMAP,OFF
ENCRYPT_TMP_DISK_TABLES,OFF
INNODB_BUFFER_POOL_LOAD_AT_STARTUP,ON
INNODB_FT_CACHE_SIZE,8000000
VERSION,10.6.21-MariaDB-cll-lve
OPTIMIZER_MAX_SEL_ARG_WEIGHT,32000
IDLE_READONLY_TRANSACTION_TIMEOUT,0
SQL_SAFE_UPDATES,OFF
REPLICATE_EVENTS_MARKED_FOR_SKIP,REPLICATE
