READ_ONLY,GLOBAL_VALUE,DEFAULT_VALUE,SESSION_VALUE,VARIABLE_NAME,VARIABLE_TYPE,VARIABLE_SCOPE,ENUM_VALUE_LIST,VARIABLE_COMMENT,GLOBAL_VALUE_PATH,NUMERIC_MAX_VALUE,NUMERIC_MIN_VALUE,NUMERIC_BLOCK_SIZE,GLOBAL_VALUE_ORIGIN,COMMAND_LINE_ARGUMENT
NO,NO_CHAIN,NO_CHAIN,NO_CHAIN,COMPLETION_TYPE,ENUM,SESSION,"NO_CHAIN,CHAIN,RELEASE",The transaction completion type,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,NO_LOG,NO_LOG,NULL,BINLOG_ROW_METADATA,ENUM,GLOBAL,"NO_LOG,MINIMAL,FULL","Controls whether metadata is logged using FULL , MINIMAL format and NO_LOG.FULL causes all metadata to be logged; MINIMAL means that only metadata actually required by slave is logged; NO_LOG NO metadata will be logged.Default: NO_LOG.",NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,32768,32768,NULL,BINLOG_STMT_CACHE_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,"The size of the statement cache for updates to non-transactional engines for the binary log. If you often use statements updating a great number of rows, you can increase this to get more performance.",NULL,18446744073709551615,4096,4096,COMPILE-TIME,REQUIRED
NO,ON,ON,NULL,ARIA_PAGE_CHECKSUM,BOOLEAN,GLOBAL,"OFF,ON",Maintain page checksums (can be overridden per table with PAGE_CHECKSUM clause in CREATE TABLE),NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,RPL_SEMI_SYNC_MASTER_ENABLED,BOOLEAN,GLOBAL,"OFF,ON",Enable semi-synchronous replication master (disabled by default).,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,2000,18446744073709551615,NULL,INNODB_IO_CAPACITY_MAX,BIGINT UNSIGNED,GLOBAL,NULL,Limit to which innodb_io_capacity can be inflated.,NULL,18446744073709551615,100,0,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,EVENT_SCHEDULER,ENUM,GLOBAL,"OFF,ON,DISABLED,ORIGINAL","Enable the event scheduler. Possible values are ON, OFF, and DISABLED (keep the event scheduler completely deactivated, it cannot be activated run-time)",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,200,200,NULL,INNODB_IO_CAPACITY,BIGINT UNSIGNED,GLOBAL,NULL,Number of IOPs the server can do. Tunes the background IO rate,NULL,18446744073709551615,100,0,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,NULL,WSREP_CLUSTER_ADDRESS,VARCHAR,GLOBAL,NULL,Address to initially connect to cluster,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,20,20,20,MAX_DELAYED_THREADS,BIGINT UNSIGNED,SESSION,NULL,Don't start more than this number of threads to handle INSERT DELAYED statements. If set to zero INSERT DELAYED will be not used,NULL,16384,0,1,COMPILE-TIME,REQUIRED
NO,6,6,6,COLUMN_COMPRESSION_ZLIB_LEVEL,INT UNSIGNED,SESSION,NULL,"zlib compression level (1 gives best speed, 9 gives best compression)",NULL,9,0,1,COMPILE-TIME,REQUIRED
NO,0,0,0,WSREP_TRX_FRAGMENT_SIZE,BIGINT UNSIGNED,SESSION,NULL,Size of transaction fragments for streaming replication (measured in units of 'wsrep_trx_fragment_unit'),NULL,2147483647,0,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,OFF,INNODB_COMPRESSION_DEFAULT,BOOLEAN,SESSION,"OFF,ON",Is compression the default for new tables,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,64,64,NULL,INNODB_AUTOEXTEND_INCREMENT,INT UNSIGNED,GLOBAL,NULL,Data file autoextend increment in megabytes,NULL,1000,1,0,COMPILE-TIME,REQUIRED
NO,0.000000,0.000000,0.000000,MAX_STATEMENT_TIME,DOUBLE,SESSION,NULL,A query that has taken more than max_statement_time seconds will be aborted. The argument will be treated as a decimal value with microsecond precision. A value of 0 (default) means no timeout,NULL,31536000,0,NULL,COMPILE-TIME,REQUIRED
NO,6,6,NULL,MYISAM_DATA_POINTER_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Default pointer size to be used for MyISAM tables,NULL,7,2,1,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,RPL_SEMI_SYNC_SLAVE_DELAY_MASTER,BOOLEAN,GLOBAL,"OFF,ON",Only write master info file when ack is needed.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,OFF,SQL_AUTO_IS_NULL,BOOLEAN,SESSION,"OFF,ON","If set to 1, the query SELECT * FROM table_name WHERE auto_increment_column IS NULL will return an auto-increment that has just been successfully inserted, the same as the LAST_INSERT_ID() function. Some ODBC programs make use of this IS NULL comparison.",NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,NULL,<blank>,<blank>,DEFAULT_MASTER_CONNECTION,VARCHAR,SESSION ONLY,NULL,Master connection to use for all slave variables and slave commands,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,100,100,NULL,DELAYED_INSERT_LIMIT,BIGINT UNSIGNED,GLOBAL,NULL,"After inserting delayed_insert_limit rows, the INSERT DELAYED handler will check if there are any SELECT statements pending. If so, it allows these to execute before continuing.",NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,NULL,REPLICATE_DO_TABLE,VARCHAR,GLOBAL,NULL,Tells the slave to restrict replication to tables in the comma-separated list.,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,100,151,NULL,MAX_CONNECTIONS,BIGINT UNSIGNED,GLOBAL,NULL,The number of simultaneous clients allowed,NULL,100000,10,1,CONFIG,REQUIRED
NO,1,1,1,WSREP_RETRY_AUTOCOMMIT,BIGINT UNSIGNED,SESSION,NULL,Max number of times to retry a failed autocommit statement,NULL,10000,0,1,COMPILE-TIME,REQUIRED
NO,ON,ON,NULL,AUTOMATIC_SP_PRIVILEGES,BOOLEAN,GLOBAL,"OFF,ON",Creating and dropping stored procedures alters ACLs,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,NULL,INNODB_STATUS_OUTPUT_LOCKS,BOOLEAN,GLOBAL,"OFF,ON",Enable InnoDB lock monitor output to the error log. Requires innodb_status_output=ON.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,32768,32768,32768,QUERY_PREALLOC_SIZE,BIGINT UNSIGNED,SESSION,NULL,Persistent buffer for query parsing and execution,NULL,4294967295,1024,1024,COMPILE-TIME,REQUIRED
NO,10.000000,10.000000,10.000000,LONG_QUERY_TIME,DOUBLE,SESSION,NULL,Log all queries that have taken more than long_query_time seconds to execute to the slow query log file. The argument will be treated as a decimal value with microsecond precision,NULL,31536000,0,NULL,COMPILE-TIME,REQUIRED
NO,2097152,2097152,2097152,SORT_BUFFER_SIZE,BIGINT UNSIGNED,SESSION,NULL,Each thread that needs to do a sort allocates a buffer of this size,NULL,18446744073709551615,1024,1,CONFIG,REQUIRED
NO,1,1,1,AUTO_INCREMENT_OFFSET,BIGINT UNSIGNED,SESSION,NULL,Offset added to Auto-increment columns. Used when auto-increment-increment != 1,NULL,65535,1,1,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,OFF,LOG_QUERIES_NOT_USING_INDEXES,BOOLEAN,SESSION,"OFF,ON",Log queries that are executed without benefit of any index to the slow log if it is open. Same as log_slow_filter='not_using_index',NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,ON,ON,STANDARD_COMPLIANT_CTE,BOOLEAN,SESSION,"OFF,ON",Allow only CTEs compliant to SQL standard,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,262144,262144,262144,JOIN_BUFFER_SIZE,BIGINT UNSIGNED,SESSION,NULL,The size of the buffer that is used for joins,NULL,18446744073709551615,128,128,COMPILE-TIME,REQUIRED
NO,1,1,1,ARIA_REPAIR_THREADS,BIGINT UNSIGNED,SESSION,NULL,Number of threads to use when repairing Aria tables. The value of 1 disables parallel repair.,NULL,128,1,1,COMPILE-TIME,REQUIRED
NO,10,10,NULL,CONNECT_TIMEOUT,BIGINT UNSIGNED,GLOBAL,NULL,The number of seconds the mysqld server is waiting for a connect packet before responding with 'Bad handshake',NULL,31536000,2,1,CONFIG,REQUIRED
NO,2097152,2097152,2097152,JOIN_BUFFER_SPACE_LIMIT,BIGINT UNSIGNED,SESSION,NULL,The limit of the space for all join buffers used by a query,NULL,18446744073709551615,2048,2048,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_BUFFER_POOL_LOAD_ABORT,BOOLEAN,GLOBAL,"OFF,ON",Abort a currently running load of the buffer pool,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,MASTER_VERIFY_CHECKSUM,BOOLEAN,GLOBAL,"OFF,ON",Force checksum verification of logged events in the binary log before sending them to slaves or printing them in the output of SHOW BINLOG EVENTS,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,5,5,5,PROGRESS_REPORT_TIME,BIGINT UNSIGNED,SESSION,NULL,Seconds between sending progress reports to the client for time-consuming statements. Set to 0 to disable progress reporting.,NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,NULL,REPLICATE_WILD_DO_TABLE,VARCHAR,GLOBAL,NULL,Tells the slave thread to restrict replication to statements where any of the updated tables match the specified database and table name patterns.,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,0,0,0,GTID_DOMAIN_ID,INT UNSIGNED,SESSION,NULL,"Used with global transaction ID to identify logically independent replication streams. When events can propagate through multiple parallel paths (for example multiple masters), each independent source server must use a distinct domain_id. For simple tree-shaped replication topologies, it can be left at its default, 0.",NULL,4294967295,0,1,COMPILE-TIME,REQUIRED
NO,127,127,NULL,INNODB_PURGE_BATCH_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Number of UNDO log pages to purge in one batch from the history list.,NULL,5000,1,0,COMPILE-TIME,OPTIONAL
NO,"fix_reuse_range_for_ref,fix_card_multiplier","fix_reuse_range_for_ref,fix_card_multiplier","fix_reuse_range_for_ref,fix_card_multiplier",OPTIMIZER_ADJUST_SECONDARY_KEY_COSTS,SET,SESSION,"adjust_secondary_key_cost,disable_max_seek,disable_forced_index_in_group_by,fix_innodb_cardinality,fix_reuse_range_for_ref,fix_card_multiplier",A bit field with the following values: adjust_secondary_key_cost = Update secondary key costs for ranges to be at least 5x of clustered primary key costs. disable_max_seek = Disable 'max_seek optimization' for secondary keys and slight adjustment of filter cost. disable_forced_index_in_group_by = Disable automatic forced index in GROUP BY. fix_innodb_cardinality = Disable doubling of the Cardinality for InnoDB secondary keys. fix_reuse_range_for_ref = Do a better job at reusing range access estimates when estimating ref access. fix_card_multiplier = Fix the computation in selectivity_for_indexes. selectivity_multiplier. This variable will be deleted in MariaDB 11.0 as it is not needed with the new 11.0 optimizer.,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,latin1,latin1,latin1,CHARACTER_SET_SERVER,ENUM,SESSION,NULL,The default character set,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,<blank>,<blank>,NULL,INIT_SLAVE,VARCHAR,GLOBAL,NULL,Command(s) that are executed by a slave server each time the SQL thread starts,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,NULL,0,753020174,RAND_SEED1,BIGINT UNSIGNED,SESSION ONLY,NULL,Sets the internal state of the RAND() generator for replication purposes,NULL,18446744073709551615,0,1,COMPILE-TIME,NULL
NO,1073741824,1073741824,NULL,MAX_BINLOG_SIZE,BIGINT UNSIGNED,GLOBAL,NULL,Binary log will be rotated automatically when the size exceeds this value.,NULL,1073741824,4096,4096,COMPILE-TIME,REQUIRED
NO,OFF,OFF,NULL,INNODB_READ_ONLY_COMPRESSED,BOOLEAN,GLOBAL,"OFF,ON",Make ROW_FORMAT=COMPRESSED tables read-only,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,OFF,OFF,OFF,BINLOG_DIRECT_NON_TRANSACTIONAL_UPDATES,BOOLEAN,SESSION,"OFF,ON","Causes updates to non-transactional engines using statement format to be written directly to binary log. Before using this option make sure that there are no dependencies between transactional and non-transactional tables such as in the statement INSERT INTO t_myisam SELECT * FROM t_innodb; otherwise, slaves may diverge from the master.",NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,ON,ON,ON,INNODB_STRICT_MODE,BOOLEAN,SESSION,"OFF,ON",Use strict mode when evaluating create options.,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,NULL,0,0,GTID_SEQ_NO,BIGINT UNSIGNED,SESSION ONLY,NULL,"Internal server usage, for replication with global transaction id. When set, next event group logged to the binary log will use this sequence number, not generate a new one, thus allowing to preserve master's GTID in slave's binlog.",NULL,18446744073709551615,0,1,COMPILE-TIME,NULL
NO,DEFAULT,DEFAULT,DEFAULT,ALTER_ALGORITHM,ENUM,SESSION,"DEFAULT,COPY,INPLACE,NOCOPY,INSTANT",Specify the alter table algorithm,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,256,256,NULL,LOG_BIN_COMPRESS_MIN_LEN,INT UNSIGNED,GLOBAL,NULL,Minimum length of sql statement(in statement mode) or record(in row mode)that can be compressed.,NULL,1024,10,1,COMPILE-TIME,OPTIONAL
NO,NONE,NONE,NULL,WSREP_REJECT_QUERIES,ENUM,GLOBAL,"NONE,ALL,ALL_KILL",Variable to set to reject queries,NULL,NULL,NULL,NULL,COMPILE-TIME,OPTIONAL
NO,86400,86400,86400,LOCK_WAIT_TIMEOUT,BIGINT UNSIGNED,SESSION,NULL,Timeout in seconds to wait for a lock before returning an error.,NULL,31536000,0,1,COMPILE-TIME,REQUIRED
NO,<blank>,<blank>,<blank>,LOG_SLOW_VERBOSITY,SET,SESSION,"innodb,query_plan,explain,engine,warnings,full",Verbosity level for the slow log,NULL,NULL,NULL,NULL,COMPILE-TIME,REQUIRED
NO,8388608,8388608,8388608,BULK_INSERT_BUFFER_SIZE,BIGINT UNSIGNED,SESSION,NULL,Size of tree cache used in bulk insert optimisation. Note that this is a limit per thread!,NULL,18446744073709551615,0,1,COMPILE-TIME,REQUIRED
NO,60,60,NULL,THREAD_POOL_IDLE_TIMEOUT,INT UNSIGNED,GLOBAL,NULL,Timeout in seconds for an idle thread in the thread pool.Worker thread will be shut down after timeout,NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
NO,latin1,latin1,latin1,CHARACTER_SET_CLIENT,ENUM,SESSION,NULL,The character set for statements that arrive from the client,NULL,NULL,NULL,NULL,COMPILE-TIME,NULL
NO,4294967295,4294967295,NULL,MAX_PASSWORD_ERRORS,INT UNSIGNED,GLOBAL,NULL,"If there is more than this number of failed connect attempts due to invalid password, user will be blocked from further connections until FLUSH_PRIVILEGES.",NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
NO,254,254,254,HISTOGRAM_SIZE,BIGINT UNSIGNED,SESSION,NULL,"Number of bytes used for a histogram. If set to 0, no histograms are created by ANALYZE.",NULL,255,0,1,COMPILE-TIME,REQUIRED
NO,10,10,10,NET_RETRY_COUNT,BIGINT UNSIGNED,SESSION,NULL,"If a read on a communication port is interrupted, retry this many times before giving up",NULL,4294967295,1,1,COMPILE-TIME,REQUIRED
