id,photo,section,pagetitle,description
12,biology.jpg,Laboratories,Biology,College has a beautiful Biology laboratory including Latest teaching methodology; using Multimedia techniques Cadets are taught Bio practical's having a real time environment.
14,language.JPG,Laboratories,Language Lab,"To make up the deficiency of the boys coming from the remote areas, in their accent and pronunciations, a most modern and fully computerized language lab has been established in the college. While the primary stress is given on English, the Lab provides facility of learning all the important international languages viz., Arabic, Persian, French, German, Turkish, etc. The Lab has also proved extremely effective audio-visual aid for instructions in other subjects as well."
16,reli1.jpg,Academic,Religious Affairs,"<p>Cadet College Larkana has a very beautiful Central Mosque named Bilal Mosque, where religious and ideological orientations including various activities are carried out regularly for the Cadets in Addition to five-time prayers and Nazra Quran.</p>  <br><h4 class='subtopic'>Practical Training of Prayers</h4>  <p>The practical Training of Prayers is provided to the Cadets, so that they may offer their prayers without any mistake.</p>  <br><h4 class='subtopic'>Nazra Quran</h4> <p>The practical training of Nazra Quran and the Qirra't is given to the Cadets, so that they may recite the holy Quran in beautiful way.</p>"
17,<blank>,Sports,Sports,"The campus is stretched at an area of 350 acre which includes a number of sports and training facilities, run under the supervision of training staff. Colleges teams are selected from best players, who are tested in inter house sports championship under the overall supervision of OIC's and sports officer. Every year college teams are trained under a qualified coach from Army / civil, at least for 3 months before they are subjected to All Sindh Cadet Colleges Sports Championship. The teams are also given opportunity to visit inter colleges for sports, championship with in the province.   <br><br>In the 12th All Sindh Inter Cadet Colleges Sports Championship held at Cadet College Sanghar from 02 November to 10 November 2013, Cadet College Larkana fetched overall 3rd position.  <br><br><b>The following are some of the sports/training facilities provided to cadets at college level:</b>"
18,larkanalodge.jpg,Administrative,Lodging and Boarding,"Cadet College Larkana has a beautiful guest house named Larkanians' lodge which is used to facilitate the outdoor guests. It includes 06 V.I.P rooms, fine mess along with mess staff and a part."
19,dispensary.JPG,Administrative,Dispensary,The College has a well-equipped dispensary and Medical Inspection Room. It is manned by a qualified full-time Medical Officer assisted by dispensers. Records pertaining to the health of the cadets are maintained regularly. The college hospital has its own ambulance to evacuate the cadets in case of emergency to the hospital of the city (Larkana).
20,cafe.jpg,Administrative,Cafeteria,"There is spacious and well-furnished cafeteria along with a Tuck-shop, where the cadets are provided with facilities of refreshments, including articles of daily use. The place is also used as Meeting-venue for parents who come to see their wards on weekends."
21,default_gallery.PNG,Administrative,Electricity (24/7),Cadet College Larkana is having standby Generators embedding 24 hours electricity in the campus with 0% Electric load shading. Cadet College Larkana is currently working on Solar Energy Project after completion of the solar project we will be generating own electricity for the College Campus.
22,default_gallery.PNG,Administrative,Water Filtration Plant,"College has water filtration plant in each hostel, academy & the residential area. So that the boys may have the neat and clean drinking water."
23,modelschool.jpg,Administrative,Model School,"Cadet College Larkana, soon after its inception, established a primary school with in the premises of the college to cater for quality education not only for the wards of the College staff but also for the people living in surrounding area.  <br><br>his/her background has the right for education. So, the coming of Model School CCL infact has been a dream come true to the parents. The propelling objective of this institution is to provide high quality and broad base education at minimum possible expenses. The system is structured on a congenial environment for all rounded and positive growth and grooming of students.  <br><br>In its first phase of evolution this institution grew from Nursery to Primary level, then to Secondary level after shifting to new building since 11 May ,2010. InshAllah in session 2014-15 efforts are in hands to get.it will be elevated up to HSSC Level. At present total 750 students are learning in this institution from Nursery to Matric. This school has been affiliated with BISE Larkana. "
24,default_gallery.PNG,Administrative,Family Park,"Cadet College Larkana has a marvelous family park near Employees' residential area, where the Employees' family comes to visit the park on daily basis. It consists of nice and fantastic natural scenery. It is great fun and entertainment source for the children and for the family members. All the visitors get themselves relaxed in the park and enjoy a lot. Natural scenery of the park give inner satisfaction to the visitors."
26,itlab1.JPG,Laboratories,IT Lab 1,"Keeping in view the importance of computers in our daily life, the cadets are given practice of laying hands on the keyboards of computers right from the first day of their entry in the college. There is an air-conditioned and tastefully furnished IT/Computer laboratory, where fifty cadets at a time can operate the computers under the guidance and super vision of qualified instructors."
27,itlab2.JPG,Laboratories,IT Lab 2,"Keeping in view the importance of computers in our daily life, the cadets are given practice of laying hands on the keyboards of computers right from the first day of their entry in the college. There is an air-conditioned and tastefully furnished IT/Computer laboratory, where fifty cadets at a time can operate the computers under the guidance and super vision of qualified instructors."
28,itlab3.JPG,Laboratories,ICT Lab 3,College has an Information and Computing Technology laboratory having latest configuration computers and is equipped with Interactive Multimedia Projector to facilitate the boys meeting the latest trends of modern world of Information technology and modern methodologies of teaching.
29,chemistryclub.JPG,Academic,Clubs,"<h4 class='subtopic'>Chemistry Club</h4> Chemistry lab was initiated in the College in late nineteen of the twentieth century A.D. It was established to broaden the scientific horizon of the students of the college. The club is working as a nursery of the future chemists.  <br><br>Since, then different teachers have served as officer incharge as one after the other, they are Associate Professor Zulfiqar Ali Shar, Asst: Professor Muhammad Hashim Memon, lecturer Ashfaq Ahmed Mashori and lecturer Rashid Ahmed Channa.  <br><br>Mandate of the club is ""Be Curious to Innovate and Invent"". <br><br><h4>Aims/ Objectives</h4> <ol class='list'> <li>To create and augment the interest among students for activities related to chemistry.</li> <li>To make them establish relationship between theory and practical while applying knowledge.</li> <li>To polish their hidden talents and excel them in their knowledge and scientific skills.</li>  </ol> <b>The club members are zealous in displaying their talent with cooperation of the teachers in the following forms:</b> <ol class='list'> <li>Designing models for clarifying chemical concepts.</li> <li>Manufacturing products to translate their knowledge and skills into real form.</li> <li>Making fun while doing little activities, processes, involving chemical reactions related to daily life.</li> </ol> "
31,physicsclub.JPG,Academic,Clubs,"<h4 class='subtopic'>Physics Club</h4> The purpose of physics club is to promote interest, understanding, and knowledge of the scientific world throughout the college and local community. Physics club is also to develop your interest in science, to introduce you to a variety of scientific disciplines and to develop skills in fieldwork, research and project presentations. The college cadet college aims to impart integral education of the highest standard, sound learning, build up character and instill highest moral and spiritual values of cadets.  <br><br>All Sciences are practical subjects and we aim to challenge and motivate our students using laboratory work wherever possible. Physics Club is to ascertain the role and the steps necessary to pursue a career in the field, to support prospective students and promote social skills necessary to work in a medical or public field. <br><br> <b>Aims & Objectives</b> <br><br>The practical work and club activities are helpful for the Cadets and the other people to understand various physical phenomena and theories in an easily understandable manner. The objectives of physics club are as follow: <ol class='list'> <li>Stimulate interest in science activities among students.</li> <li>Enable students to carry out self-directed activities in areas of interest in science.</li> <li>Provide opportunities for students to develop initiatives and creativities.</li> <li>To allow the students to develop and build their talents naturally.</li> </ol> <b>Activities of The Club</b> <br><br>Physics club activities are performed by Cadets in physics laboratory under the guidance of teacher. Following set of activities are performed by the students in physics club. <ol type='a' class='list'> <li>Preparing working scientific projects.</li> <li>Making Models.</li> <li>Making small activities which better their skills.</li> </ol> "
32,biologyclub.JPG,Academic,Clubs,"<h4 class='subtopic'>Biology Club</h4> Biology Club activities are performed in Biology Laboratory. Cadets of different classes prepare the Models in Biology Club under the guidance of their Biology Teachers. The models prepared by the cadets are placed in ""Scientific Exhibition"" during the ""Parents Day"". These models help the cadets and the viewers to increase understanding of living systems. <br><br>  <b>Aims and Objectives of Biology Club</b> <br><br>Biology Club has a multitude of aims and objectives. It has been established to increase knowledge about all aspects of Biology and to develop an understanding of biological facts, concepts and principles and an appreciation of their significance. Bio Club activities create awareness for application of Biology in personal, social, economic, environmental and technological contexts. <br><br>Biology Club activities also give the students the opportunity to experience science by using scientific research procedures. In order to achieve meaningful learning, scientific theories and their application methods should be experienced by students. Moreover, club activities encourage the development of analytical and critical thinking skills and encourage interest in science. <br><br> <b>The general purposes of Biology Club are:</b> <ol class='list'> <li>Supporting or strengthening theoretical knowledge.</li> <li>Experiencing the pleasure of discovery.</li> <li>Teaching how scientific knowledge may be used in daily life.</li> <li>Developing manual skills by using tools and equipment.</li> <li>Allowing students to apply skills instead of memorizing.</li> <li>To date, many studies have been conducted on the importance of laboratory work while teaching science. Currently, science educators and teachers agree that laboratory work is indispensable to the understanding of science.</li> </ol>"
33,football.jpg,Sports,Sports,"<h4 class='subtopic'>Football</h4> There are two grounds for football on the southern side of the campus, dedicated for the teams to practice on daily basis, to provide cadets the opportunity to learn / improve their skills. "
34,hockey.jpg,Sports,Sports,"<h4 class='subtopic'>Hockey</h4> There are 3 hockey grounds, including the main ground used by the college team. "
35,squash.jpg,Sports,Sports,"<h4 class='subtopic'>Squash</h4> There are seven courts for college squash team i.e. six old and one new glass court constructed on 04 Jan 2006, later on it is named after Major Mujahid Ali Mirani, Shaheed (Sitara-e-Jurat) Ex-Larkanian. In 12th All Sindh Inter Cadet Colleges Sports Championship held at Sanghar, Cadet College Larkana got 3rd position in squash. "
36,badminton.jpg,Sports,Sports,"<h4 class='subtopic'>Badminton</h4> This game is being played usually in Indoor courts. Our college has one Indoor court and eight outdoor courts. The benefit of this game is, our cadets are always fit and learn more from the coaches. This year 2013, we got Gold medal in 12th ICCSC Championship, was held in Cadet College Sanghar.   <br><br>The selection of players from different classes after conducting the trial. Our cadets are always take part with interest and invite the others cadets to join in Badminton team. In our college, the officers team also compete with the cadets during sports time. Our Principal also a member of officers team and he himself play daily during sports time.  "
37,basketball.jpg,Sports,Sports,"<h4 class='subtopic'>Basketball</h4> In cadets college Larkana six(06) well planned basketball grounds are available in which the cadets play on daily basis .It is also Larkana noteworthy that the basketball team is one of the best teams who gave match less performance in 2012 ICC SC held in cadet college Larkana ,in which our basketball team emerged as champion. Coaches are also guiding the team time to time which makes them (Cadets) high to touch the zenith. "
38,gym.jpg,Sports,Sports,<h4 class='subtopic'>Gymnasium</h4> The college is having one central gymnasium with all necessary equipment / machinery for physical training of all the cadets. 
39,swimmingpool.JPG,Sports,Sports,"<h4 class='subtopic'>Swimming Pool</h4> The college is having one swimming pool of 25 m (L), 13 1/2 (W) and 13 (ft) depth with an overhead cover to train the cadets in swimming by a qualified staff from Navy. Every year swimming championship is held at college level to encourage the cadets to improve their skills. "
40,tabletennis.jpg,Sports,Sports,"<h4 class='subtopic'>Table Tennis</h4> Table tennis facility is available at all the houses, in the house common rooms, to provide an opportunity to the cadets at their door step, in their leisure hours. "
41,cricket.jpg,Sports,Sports,"<h4 class='subtopic'>Cricket</h4> There is one major ground for college cricket team on the southern side of the campus, dedicated for the team to practice on daily basis to provide cadets the opportunity to learn/improve their skills. College cricket team is selected from best players who are tested in interhouse cricket championship under the overall supervision of OIC Cricket and cricket officer. <br><br>Every year college team is trained under a qualified coach, at least for 3 months before they are subjected to all Sindh Cadet Colleges sports championship. The team is also given opportunity to visit intercollege for cricket championship with in the province."
42,misc.jpg,Sports,Sports,"<h4 class='subtopic'>Miscellaneous</h4> The cadets are also provided the opportunity to play volleyball, handball, athletics marathon, cross country and are also subjected to obstacle course and (PT) physical training for their physical grooming."

